,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
57,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-10-01,1.85
58,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-11-01,0.01
59,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-12-01,1.893497942386833
60,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-01-01,0.91
61,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-02-01,0.24
62,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-03-01,2.45
63,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-04-01,4.02
64,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-05-01,4.08
65,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-06-01,1.95
66,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-07-01,3.33
67,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-08-01,4.19
68,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-09-01,1.64
69,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-10-01,0.42
70,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-11-01,0.66
71,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-12-01,0.32
72,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-01-01,0.11
73,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-02-01,0.0
74,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-03-01,1.48
75,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-04-01,1.24
76,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-05-01,3.78
77,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-06-01,1.16
78,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-07-01,1.47
79,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-08-01,2.64
80,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-09-01,0.91
81,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-10-01,0.54
82,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-11-01,1.02
83,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1991-12-01,1.67
84,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-01-01,1.24
85,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-02-01,1.2
86,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-03-01,1.19
87,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-04-01,0.3
88,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-05-01,3.95
89,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-06-01,6.04
90,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-07-01,3.87
91,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-08-01,4.07
92,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-09-01,1.62
93,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-10-01,2.07
94,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-11-01,1.95
95,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1992-12-01,1.05
96,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-01-01,1.24
97,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-02-01,2.73
98,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-03-01,1.76
99,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-04-01,1.02
100,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-05-01,3.64
101,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-06-01,5.54
102,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-07-01,11.57
103,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-08-01,6.26
104,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-09-01,2.24
105,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-10-01,0.55
106,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-11-01,0.4
107,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1993-12-01,1.06
108,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-01-01,0.75
109,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-02-01,0.48
110,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-03-01,0.09
111,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-04-01,2.71
112,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-05-01,1.04
113,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-06-01,0.72
114,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-07-01,5.5
115,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-08-01,0.27
116,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-09-01,0.67
117,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-10-01,1.0
118,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-11-01,1.99
119,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1994-12-01,1.02
120,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-01-01,1.51
121,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-02-01,0.17
122,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-03-01,1.02
