"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1991-04","4.85"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1991-05","0.93"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1991-06","2.89"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1991-07","1.95"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1991-08","5.27"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1991-09","6.32"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1991-10","4.27"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1991-11","4.06"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1991-12","2.59"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-01","3.11"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-02","2.28"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-03","3.59"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-04","2.34"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-05","1.41"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-06","4.61"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-07","2.67"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-08","4.26"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-09","3.46"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-10","1.63"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-11","6.14"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1992-12","8.26"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-01","2.17"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-02","4.95"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-03","7.67"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-04","4.87"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-05","1.04"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-06","1.75"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-07","1.75"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-08","1.32"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-09","4.65"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-10","3.61"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-11","2.86"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1993-12","6.61"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-01","5.22"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-02","2.96"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-03","7.48"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-04","2.25"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-05","5.36"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-06","0.87"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-07","1.80"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-08","7.04"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-09","4.59"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-10","0.41"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-11","4.31"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1994-12","5.38"
