"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1989-08","1.62"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1989-09","1.23"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1989-10","0.21"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1989-11","0.64"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1989-12","0.30"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-01","0.26"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-02","0.24"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-03","0.56"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-04","0.31"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-05","1.65"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-06","4.73"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-07","1.53"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-08","1.37"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-09","1.25"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-10","0.29"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-11","0.00"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1990-12","0.50"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-01","0.17"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-02","0.24"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-03","0.62"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-04","1.62"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-05","3.34"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-06","2.64"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-07","0.65"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-08","1.78"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-09","2.50"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-10","2.33"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-11","0.75"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1991-12","0.16"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-01","0.31"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-02","0.41"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-03","0.62"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-04","0.22"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-05","1.12"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-06","3.64"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-07","2.46"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-08","0.98"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-09","1.29"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-10","0.39"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-11","0.81"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1992-12","0.48"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-01","0.29"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-02","0.33"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-03","0.39"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-04","1.26"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-05","2.37"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-06","4.57"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-07","13.75"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-08","1.89"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-09","0.26"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-10","0.02"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-11","1.04"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1993-12","0.84"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-01","0.59"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-02","0.45"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-03","0.67"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-04","1.06"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-05","0.54"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-06","3.35"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-07","1.76"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-08","0.33"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-09","5.02"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-10","3.41"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-11","1.50"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1994-12","0.30"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-01","0.42"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-02","0.33"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-03","1.67"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-04","1.00"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-05","4.15"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-06","1.39"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-07","5.00"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-08","1.99"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-09","0.80"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-10","1.12"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-11","0.52"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1995-12","0.56"
